Reviews,Pos Office Branch,User,Reviews,Rate,tanggal_review
lokeasinya strategis mudah temu utama ada tepi jalan besar tempat parkir jutidak cukup pada meski jam sibuk atidak ramai kantor bersih rapi suasana jutidak cukup tertib walaupun kadang antre nilai plus nya aku  mudah akses  layan baik  lokeasi tidakmpang cari,kantor pos besar pontianak,miss gita,"📍lokasinya strategis dan mudah ditemukan, terutama karena berada di tepi jalan besar. tempat parkirnya juga cukup memadai, meskipun saat jam sibuk agak ramai.

📍kantornya bersih dan rapi, suasananya juga cukup tertib walaupun kadang ada antrean.

📍nilai plus nya menurut aku:
✅ mudah diakses
✅ pelayanan baik
✅ lokasi gampang dicari",5,2025-07-28
baru kali ke kantor pos besar antar ibu ambil bsu ruantidakn nya bersih kursi lumayan banyak layan bagus gercep proses nya ngtidak lama terima kasih,kantor pos besar pontianak,mella kartika sari,"baru kali ini ke kantor pos besar
antar ibu ambil bsu
ruangan nya bersih, kursinya lumayan banyak,
pelayanan bagus dan gercep..
proses nya nggak lama
terima kasih..",5,2025-07-11
kantor pos termetidakh pontianak layan baik kirim paket surat baik domestik manca netidakra kirim uang negeri luar negeri beli pulsa bayar listrik pdam bpjs tagih lain layan bayar pensiun taspen  asabri nabung btn jutidak,kantor pos besar pontianak,anom arie satriya,"kantor pos termegah di pontianak. pelayanan baik. bisa kirim paket atau surat baik domestik atau manca negara, kirim uang dalam negeri atau luar negeri, beli pulsa, bayar listrik, pdam, bpjs dan tagihan lainnya. melayani pembayaran pensiun taspen & asabri. bisa nabung btn juga.",5,2019-08-11
benar kantor pos ny buka hari sampai jam 9 mlm,kantor pos besar pontianak,ana kiftia,itu benar kantor pos ny buka setiap hari dan sampai jam 9 mlm,5,2025-07-11
kantor pos letak antara pusat kantor lain sini dapat papan informasi kena lowontidakn kerja sekitar area pontianak lahan parkir luas mudah akses kantor pos area ini sini jutidak dilentidakapi dentidakn atm corner untuk layan mulai senin dentidakn sabtu ,kantor pos besar pontianak,anditya gilang,"kantor pos yang terletak di antara pusat perkantoran yang lainnya
disini terdapat papan informasi mengenai lowongan kerja untuk sekitaran area pontianak
lahan parkir yang luas memudahkan akses ke kantor pos area ini
disini juga dilengkapi dengan atm corner
untuk pelayanan mulai dari senin sampai dengan sabtu
😊😊😊",3,2018-08-11
legis berkas bukti persidantidakn,kantor pos besar pontianak,agusjaz japirin,legis berkas bukti untuk persidangan,5,2025-05-11
layan kurang ditintidakatkan lgi layan kakak2 jatidak lokeet,kantor pos besar pontianak,akun cadangan berry,"pelayanannya kurang, boleh ditingkatkan lgi ya pelayanannya utk kakak2 yg jaga loket:)",1,2025-05-11
layan nya santidakt buruk org bnyak antri cs nya cuman 1 dbuka sudah jelas layan nya tulis jam 8 30 sudah jam 9 lewat jutidak ada layan jadi makan tidakji buta mreka d kantor pos,kantor pos besar pontianak,gamers indo,"pelayanan nya sangat buruk,org bnyak antri ,cs nya cuman 1 dbuka,udh jelas pelayanan nya tertulis jam 8.30 ini udh jam 9 lewat masih juga belum ada pelayanannya,jdi makan gaji buta aja mreka d kantor pos ini",1,2023-08-11
fasilitas pelayananan cukuplumayan  dapat 7 lokeet layan dentidakn sedia fasilitas cukup lumayan baik perlu jutidak menintidakatkan sdm nya atidakr layan lebih maksimal optimal,kantor pos besar pontianak,sonny dwiyana,"fasilitas pelayananan sudah cukuplumayan , terdapat 7 loket pelayanan. namun dengan ketersediaan fasilitas yang cukup lumayan baik perlu juga untuk meningkatkan sdm nya agar pelayanan lebih maksimal dan optimal",5,2019-08-11
layan hari santidakt tdk muas tdk konsisten kata2 nya bnyk kecewa hari untuk  ,kantor pos besar pontianak,zain alva,"pelayanan hari ini sangat tdk memuaskan,,, tdk konsisten dgn kata2 nya,,, bnyk yg kecewa hari ini dibuatnya 😔 …",2,2025-03-11
